Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
What do divided cities have in common? An international comparison of income segregation,,10.1111/jors.12506,True,,2020,,Journal of Regional Science,False,,"Veneri, Paolo and Comandon, Andre and Garcia‐López, Miquel‐Àngel and Daams, Michiel N."
Discovering income-economic segregation patterns: A residential-mobility embedding approach,,10.1016/j.compenvurbsys.2021.101709,True,,2021,,"Computers, Environment and Urban Systems",False,,"Zhang, Tong and Duan, Xiaoqi and Wong, David W.S. and Lu, Yashan"
"A Review of ‘Socio-economic segregation in European capital cities: East meets West’, Edited by Tiit Tammaru, Szymon Marcinczak, Maarten van Ham and Sako Musterd",,10.1080/14616718.2016.1189410,True,,2016,,International Journal of Housing Policy,False,,"Jivraj, Stephen"
Income Segregation and the Incomplete Integration of Islam in the Paris Metropolitan Area,,10.1177/2378023119899585,True,,2020,,Socius: Sociological Research for a Dynamic World,False,,"Drouhot, Lucas G."
Inequality in Children’s Contexts,,10.1177/0003122416642430,True,,2016,,American Sociological Review,False,,"Owens, Ann"
Local Economic Segregation and Opinions about Income Integration in Schools,,10.1177/15356841231195616,True,,2023,,City &amp; Community,False,,"Bischoff, Kendra and Sandusky, Emily"
"<i>Socio-economic segregation in European capital cities: East meets West</i>, edited by Tiit Tammaru, Szymon Marcińczak, Maarten van Ham, and Sako Musterd",,10.1111/juaf.12306,True,,2017,,Journal of Urban Affairs,False,,"Coulter, Rory"
Linking urban sprawl and income segregation – Findings from a stylized agent-based model,,10.1177/2399808317719072,True,,2017,,Environment and Planning B: Urban Analytics and City Science,False,,"Guo, Cheng and Buchmann, Carsten M and Schwarz, Nina"
Impact of new rail transit stations on neighborhood destination choices and income segregation,,10.1016/j.cities.2020.102737,True,,2020,,Cities,False,,"Nilsson, Isabelle and Delmelle, Elizabeth C."
Book Deserts: The Consequences of Income Segregation on Children’s Access to Print,,10.1177/0042085916654525,True,,2016,,Urban Education,False,,"Neuman, Susan B. and Moland, Naomi"
Income Segregation Analysis in Limited‐Data Contexts: A Methodology Based on Iterative Proportional Fitting,,10.1111/gean.12367,True,,2023,,Geographical Analysis,False,,"Peraza‐Mues, Gonzalo and Ponce‐Lopez, Roberto and Muñoz Sanchez, Juan Antonio and Cavazos Alanis, Fernanda and Olivera Martínez, Grissel and Brambila Paz, Carlos"
Income segregation from local income taxation when households differ in both preferences and incomes,,10.1016/j.regsciurbeco.2005.10.003,True,,2006,,Regional Science and Urban Economics,False,,"Schmidheiny, Kurt"
"Civic Life in the Divided Metropolis: Social Capital, Collective Action, and Residential Income Segregation",,10.1177/1078087416688097,False,,,,Urban Affairs Review,False,,
Economic segregation in transition China: evidence from the 20 largest cities,,10.1080/02723638.2016.1195992,True,,2016,,Urban Geography,False,,"Monkkonen, Paavo and Comandon, Andre and Zhu, Jiren"
Take the Money and Run: Economic Segregation in U.S. Metropolitan Areas,,10.2307/2096304,True,,1996,,American Sociological Review,False,,"Jargowsky, Paul A."
Neighbors’ income distribution: economic segregation and mixing in US urban neighborhoods,,10.1016/j.jhe.2004.09.003,True,,2004,,Journal of Housing Economics,False,,"Hardman, Anna and Ioannides, Yannis M."
"Business Services, Income Inequality, and Income Segregation in Metropolitan Areas: Direct and Indirect Links",,10.1080/00130095.2022.2074831,True,,2022,,Economic Geography,False,,"Wessel, Terje"
The dynamics of socio-economic segregation: What role do private schools play?,,10.1177/00420980221119385,True,,2022,,Urban Studies,False,,"Jähnen, Stefanie and Helbig, Marcel"
Proximate sources of growth in neighborhood income segregation: Class-selective migration versus in situ change,,10.1016/j.ssresearch.2021.102624,True,,2022,,Social Science Research,False,,"South, Scott J. and Huang, Ying and Spring, Amy"
"Income segregation's impact on local public expenditures: Evidence from municipalities and school districts, 1980–2010",,10.1016/j.regsciurbeco.2021.103710,True,,2021,,Regional Science and Urban Economics,False,,"Gallagher, Ryan M."
Inequality and crime revisited: effects of local inequality and economic segregation on crime,,10.1007/s00148-015-0579-3,True,,2015,,Journal of Population Economics,False,,"Kang, Songman"
"Exploring the global and local patterns of income segregation in Toronto, Canada: A multilevel multigroup modeling approach",,10.1177/23998083211021419,True,,2021,,Environment and Planning B: Urban Analytics and City Science,False,,"Quick, Matthew and Revington, Nick"
Urban Shrinkage and Socio-Economic Segregation in Medium-Sized Cities: The Case of Schwerin (Germany),,10.2478/quageo-2021-0036,True,,2021,,Quaestiones Geographicae,False,,"Huntington, David"
Spatial and temporal patterns of economic segregation in Sweden’s metropolitan areas: A mobility approach,,10.1177/0308518X18763167,True,,2018,,Environment and Planning A: Economy and Space,False,,"Östh, John and Shuttleworth, Ian and Niedomysl, Thomas"
A realistic and multilevel measurement of citywide spatial patterns of economic segregation based on human activities,,10.1016/j.cities.2020.103067,False,,,,Cities,False,,
"Socio-economic segregation in European cities. A comparative study of Brussels, Copenhagen, Amsterdam, Oslo and Stockholm",,10.1080/02723638.2021.1959778,False,,,,Urban Geography,False,,
Understanding School Segregation,,10.5040/9781350033542,True,,2019,,Bloomsbury Publishing Plc,False,,
Exploring Spatial Clustering Over Time and Spillover Effects of the Low-Income Housing Tax Credit on Neighborhood-Level Income Segregation,,10.1177/1078087420973436,True,,2020,,Urban Affairs Review,False,,"Won, Jongho"
"Poverty and Affluence: A Comparative Analysis of Economic Segregation in Metropolitan Cincinnati, Cleveland, and Columbus, Ohio, 1970-2000",,10.2747/0272-3638.29.6.581,True,,2008,,Urban Geography,False,,"Brinegar, Sarah and Leonard, James"
City-regions and socio-economic segregation in mid-sized cities in Mexico: the cases of Oaxaca and Morelia,,10.3828/tpr.2021.45,True,,2022,,Town Planning Review,False,,"Ruiz-López, Cinthia and Méndez-Lemus, Yadira and Vieyra, Antonio and Alvarado, Concepción"
"Residential Attainment of Now-Adult Gautreaux Children: Do they Gain, Hold or Lose Ground in Neighborhood Ethnic and Economic Segregation?",,10.1080/02673030802101658,True,,2008,,Housing Studies,False,,"Keels, Micere"
The (ir)relevance of economic segregation. Jane Jacobs and the empirical and moral implications of an unequal spatial distribution of wealth,,10.1016/j.cities.2018.02.027,True,,2019,,Cities,False,,"Buitelaar, Edwin and Cozzolino, Stefano"
"COVID-19, the New Urban Crisis, and Cities: How COVID-19 Compounds the Influence of Economic Segregation and Inequality on Metropolitan Economic Performance",,10.1177/08912424231155969,True,,2023,,Economic Development Quarterly,False,,"Florida, Richard and Gabe, Todd"
