PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	McLean, M				McLean, Michelle			Public libraries and resilient cities	AUSTRALIAN LIBRARY JOURNAL			English	Book Review																			1	0	0	0	7	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND	0004-9670	2201-4276		AUST LIBR J	Aust. Libr. J.	NOV 1	2013	62	4					328	328		10.1080/00049670.2013.859550	http://dx.doi.org/10.1080/00049670.2013.859550			1	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	274PL		Bronze			2023-10-25	WOS:000328618400020
J	Hopwood, S				Hopwood, Susan			Public Libraries and Resilient Cities.	REFERENCE & USER SERVICES QUARTERLY			English	Book Review									[Hopwood, Susan] Marquette Univ Lib & Trustee, Wisconsin Publ Lib, Milwaukee, WI 53233 USA										1	0	0	0	6	AMER LIBRARY ASSOC	CHICAGO	50 E HURON ST, CHICAGO, IL 60611 USA	1094-9054	2163-5242		REF USER SERV Q	Ref. User Serv. Q.		2013	53	1					79	79		10.5860/rusq.53n1.79a	http://dx.doi.org/10.5860/rusq.53n1.79a			1	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	AN8CX		Bronze			2023-10-25	WOS:000340830800017
B	Bulkeley, H	Bulkeley, H			Bulkeley, Harriet	Bulkeley, H		Urban adaptation - towards climate-resilient cities?	CITIES AND CLIMATE CHANGE	Routledge Critical Introductions to Urbanism and the City		English	Article; Book Chapter									[Bulkeley, Harriet] Univ Durham, Dept Geog, Durham DH1 3HP, England; [Bulkeley, Harriet] Univ Durham, Durham Energy Inst, Durham DH1 3HP, England	Durham University; Durham University	Bulkeley, H (corresponding author), Univ Durham, Dept Geog, Durham DH1 3HP, England.		Bulkeley, Harriet/Y-3348-2019						0	0	0	0	2	ROUTLEDGE	ABINGDON	2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND			978-0-415-59705-0; 978-0-203-07720-7; 978-0-415-59704-3	ROUTL CRIT INTRO URB			2013							142	189						48	Environmental Studies; Urban Studies	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Environmental Sciences & Ecology; Urban Studies	BGF60					2023-10-25	WOS:000322761700006
J	Serre, D; Barroca, B				Serre, D.; Barroca, B.			"Natural hazard resilient cities" <i>Preface</i>	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES			English	Editorial Material							RISK; MANAGEMENT; TOOL		[Serre, D.] RESCUE Solut SAS, F-92220 Bagneux, France; [Barroca, B.] Univ Paris Est, LEESU Urban Engn Team, F-77454 Marne La Vallee, France; [Serre, D.] Univ Paris Diderot, Sorbonne Paris Cite, Paris Interdisciplinary Energy Res Inst 7, Paris, France	Universite Gustave-Eiffel; Universite Paris-Est-Creteil-Val-de-Marne (UPEC); UDICE-French Research Universities; Universite Paris Cite	Barroca, B (corresponding author), Univ Paris Est, LEESU Urban Engn Team, 5 Bd Descartes, F-77454 Marne La Vallee, France.	bruno.barroca@univ-mlv.fr	Barroca, Bruno/ABF-5436-2020	Barroca, Bruno/0000-0001-6653-0803; serre, damien/0000-0002-2902-2989					24	12	12	0	21	COPERNICUS GESELLSCHAFT MBH	GOTTINGEN	BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY	1561-8633	1684-9981		NAT HAZARD EARTH SYS	Nat. Hazards Earth Syst. Sci.		2013	13	10					2675	2678		10.5194/nhess-13-2675-2013	http://dx.doi.org/10.5194/nhess-13-2675-2013			4	Geosciences, Multidisciplinary; Meteorology & Atmospheric Sciences; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Geology; Meteorology & Atmospheric Sciences; Water Resources	247GK		gold			2023-10-25	WOS:000326604600021
B	Arefi, M		Banerjee, T; LoukaitouSideris, A		Arefi, Mahyar			Design for resilient cities Reflections from a studio	COMPANION TO URBAN DESIGN	Routledge Companions		English	Article; Book Chapter									Univ Cincinnati, Coll Design Architecture Art & Planning, Cincinnati, OH 45221 USA	University System of Ohio; University of Cincinnati	Arefi, M (corresponding author), Univ Cincinnati, Coll Design Architecture Art & Planning, Cincinnati, OH 45221 USA.		Arefi, Mahyar/ADL-3071-2022	Arefi, Mahyar/0000-0002-6198-5451					26	13	13	0	2	ROUTLEDGE	ABINGDON	2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND			978-0-203-84443-4	ROUTL COMPANIONS			2011							674	685						12	Architecture; Urban Studies	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Architecture; Urban Studies	BUG70					2023-10-25	WOS:000289235400062
B	Procee, P; Brecht, H		Baeumler, A; IjjaszVasquez, E; Mehndiratta, S		Procee, Paul; Brecht, Henrike			Adapting to Climate Risks: Building Resilient Cities in China	SUSTAINABLE LOW-CARBON CITY DEVELOPMENT IN CHINA	Directions in Development		English	Article; Book Chapter									[Procee, Paul; Brecht, Henrike] World Bank, Washington, DC USA	The World Bank	Procee, P (corresponding author), World Bank, Washington, DC USA.	pprocee@worldbank.org; hbrecht@worldbank.org							15	0	0	0	3	WORLD BANK INST	WASHINGTON	1818 H ST NW, WASHINGTON, DC 20433 USA			978-0-8213-8988-1; 978-0-8213-8987-4	DIR DEV			2012							435	463				10.1596/978-0-8213-8987-4		29	Regional & Urban Planning; Urban Studies	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Public Administration; Urban Studies	BCE36		Green Published			2023-10-25	WOS:000309954200026
J	Newman, P; Beatley, T; Boyer, H				Newman, Peter; Beatley, Timothy; Boyer, Heather			Resilient Cities: Responsing to Peak Oil and Climate Change	AUSTRALIAN PLANNER			English	Editorial Material									[Newman, Peter] Curtin Univ, Sustainabil, Perth, WA, Australia; [Beatley, Timothy] Univ Virginia, Sustainable Communities, Charlottesville, VA 22903 USA; [Boyer, Heather] Harvard Grad Sch Design, Boston, MA USA	Curtin University; University of Virginia	Newman, P (corresponding author), Curtin Univ, Sustainabil, Perth, WA, Australia.			Newman, Peter/0000-0002-8668-2764					0	8	8	0	1	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0729-3682	2150-6841		AUST PLAN	Aust. Plan.		2009	46	1					59	59		10.1080/07293682.2009.9995295	http://dx.doi.org/10.1080/07293682.2009.9995295			1	Regional & Urban Planning	Emerging Sources Citation Index (ESCI)	Public Administration	V57EC					2023-10-25	WOS:000210610100022
J	Elliott, M				Elliott, Michael			Resilient Cities: Responding to Peak Oil and Climate Change	JOURNAL OF URBAN TECHNOLOGY			English	Book Review									[Elliott, Michael] Georgia Inst Technol, Atlanta, GA 30332 USA	University System of Georgia; Georgia Institute of Technology	Elliott, M (corresponding author), Georgia Inst Technol, Atlanta, GA 30332 USA.								1	0	0	0	8	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND	1063-0732			J URBAN TECHNOL	J. Urban Technol.		2010	17	2					121	123						3	Urban Studies	Social Science Citation Index (SSCI)	Urban Studies	659RL					2023-10-25	WOS:000282584500009
J	Chapman, R				Chapman, Ralph			Resilient Cities: Responding to Peak Oil and Climate Change	JOURNAL OF URBAN DESIGN			English	Book Review									[Chapman, Ralph] Victoria Univ, Wellington, New Zealand	Victoria University Wellington	Chapman, R (corresponding author), Victoria Univ, Wellington, New Zealand.								13	1	1	0	0	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1357-4809	1469-9664		J URBAN DES	J. Urban Des.		2012	17	2					301	303		10.1080/13574809.2012.666179	http://dx.doi.org/10.1080/13574809.2012.666179			3	Urban Studies	Emerging Sources Citation Index (ESCI)	Urban Studies	V68EC					2023-10-25	WOS:000211353700007
J	Vallance, S				Vallance, Suzanne			Resilient Cities: Responding to Peak Oil and Climate Change	URBAN POLICY AND RESEARCH			English	Book Review									[Vallance, Suzanne] Lincoln Univ, Environm Soc & Design Div, Canterbury, New Zealand	Lincoln University - New Zealand	Vallance, S (corresponding author), Lincoln Univ, Environm Soc & Design Div, Canterbury, New Zealand.		Vallance, Suzanne/W-3623-2018	Vallance, Suzanne/0000-0002-8964-0340					1	0	0	0	4	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND	0811-1146			URBAN POLICY RES	Urban Policy Res.		2009	27	4					452	454						3	Environmental Studies; Geography; Regional & Urban Planning; Urban Studies	Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Geography; Public Administration; Urban Studies	664XW					2023-10-25	WOS:000282998300011
J	[Anonymous]				[Anonymous]			RESILIENT CITIES: RESPONDING TO PEAK OIL AND CLIMATE CHANGE	LANDSCAPE ARCHITECTURE			English	Book Review																			1	0	0	0	4	AMER SOC LANDSCAPE ARCHITECTS	WASHINGTON	636 EYE ST, NW, WASHINGTON, DC 20001-3736 USA	0023-8031			LANDSCAPE ARCHIT	Landsc. Archit.	AUG	2009	99	8					105	105						1	Architecture	Arts &amp; Humanities Citation Index (A&amp;HCI)	Architecture	479ZX					2023-10-25	WOS:000268702200020
