Included,Year,Social Phenomenon,Main Mechanisms,Social Phenomena,Mechanism
wos_5,2023,"Residential segregation, Ethnic segregation","Residential mobility, Socioeconomic similarity; Religious similarity",Residential segregation; Ethnic segregation,
wos_6,2023,Ethnical/Race segregation,"Residential mobility, Socioeconomic preferences; Socioeconomic housing constraints",Racial segregation,
wos_22,2020,Job accessibility inequality,"Residential mobility, Utility of location, Satisfaction of location, Social class, Housing market",Job accessibility inequality,
wos_79,2019,"Urban sprawl / Urban growth, Income segregation","Residential mobility, Utility of location, Satisfaction of location",Urban growth; Income segregation,
wos_76,2016,"Group-based / Family-based residential choice, Residential choice under urban disasters","Residential mobility, Job-housing relationship, Utility of location, Satisfaction of location, Housing market",Household residential choice; Residential choice under urban disasters,
wos_75,2018,"Gentrification, Urban sprawl / Urban growth, Urban displacement","Residential mobility, Utility of location, Urban agglomeration and path dependence; Amenity (urban or natural) preference",Gentrification; Urban growth; Urban displacement,
wos_19,2017,Unspecified,"Life cycle of person, Tenure choice, Neighbourhood effect; Social norm",Unspecified,
wos_13,2016,None / Not the main focus,"Life cycle of person, Housing market",Unspecified,
wos_69,2016,Unspecified,"Residential mobility, Housing market, Accessibility, Activity Prediction",Unspecified,
wos_17,2013,"Migration, immigration.","Residential mobility, Life cycle of person, Satisfaction of location, Housing market, Urban development",Migration; immigration,
wos_52,2018,Residential segregation,"Residential mobility, Migration",Residential segregation,
wos_20,2009,Uncertainty inherent in beliefs,"Life cycle of person, Utility of location, Satisfaction of location",Uncertainty inherent in beliefs,
wos_14,2016,"Urban shrinkage, Migration","Residential mobility, Job-housing relationship, Life cycle of person, Satisfaction of location, Tenure choice, Social class, Housing market, Transportation cost; Collective knowledge; Urban-rural difference; ",Urban shrinkage; Migration,
wos_15,2017,Urban sprawl / Urban growth,"Residential mobility, Utility of location, Satisfaction of location, Social class, Housing market",Urban growth,
