Included,Year,Keywords
sd_cst4_67,2016,Diet;Health Inequalities;Complex Systems;Social Influence;Segregation
wos_0,2022,Decision-Making;Choice;Dynamics
wos_2,2015,Intervening Opportunities;Spatial-Interaction;Life-Course;Land-Use;Simulation;Dynamics;Mobility;Challenges;Choice;Scale
wos_10,2021,Land-Use Development;Residential Location;Choice;Mobility;Market
wos_7,2013,Life-Course;Urban;Preferences;Model
wos_1,2010,Land-Use;Cellular-Automata;Urban-Development;Cities;Households;Behavior;Germany;Sprawl
wos_4,2014,Segregation;Protocol;Choice
wos_5,2023,Preferences;Diversity
wos_6,2023,Residential Segregation;Preferences;Minorities;Sociology;Choice;Wealth
wos_22,2020,Land-Use;Spatial Equity;Sao-Paulo;Impacts;Dynamics;Choice;Transportation;Gentrification;Search
wos_79,2019,Residential Segregation;Land-Market;Population;Inequality;Density
wos_76,2016,Urban Resilience;Disaster Management;Dynamic Agent Based Modeling;Welfare Outcomes
wos_75,2018,Land-Use;Gentrification;Evolution;Protocol;Cities;Choice
wos_19,2017,Tenure Choice;Homeownership;Transition;Land
wos_13,2016,Land-Use;Urban-Development;Model;Transportation;Accessibility;Microsimulation;Decisions;Mobility;Distance
wos_69,2016,Hybrid Genetic Algorithm;Property-Values;Loss Aversion;Parameter-Estimation;Metropolitan-Area;Urban-Development;Kinetic-Models;Accessibility;Behavior;Simulation
wos_17,2013,Indirect Energy-Requirements;Location
wos_52,2018,Neighborhood Racial Segregation;Ethnic-Preferences;Validation;Dynamics
wos_20,2009,Residential Choice;Nonstationary Housing Markets
wos_14,2016,Agent-Based Model;Land-Use;Urban Forest;Neighborhood;Location;Support;Simulation;Optimization;Preferences;Population
wos_15,2017,Cellular-Automata;Urban;Simulation;Dynamics;Mobility
